TC_ID,Layer,Current Temp (Latest),Slope (deg/day),Baseline Temp 2014,Target Temp (115 Up),Intersection Date
171,6177,316.39,-0.081779,678.97,793.97,No Intersection (Stagnant/Cooling)
172,6177,307.63,-0.051206,545.48,660.48,No Intersection (Stagnant/Cooling)
173,6177,192.53,-0.066938,616.12,731.12,No Intersection (Stagnant/Cooling)
174,6177,395.98,0.120789,-78.2,36.8,8/11/2016
175,6177,329.63,-0.193914,869.75,984.75,No Intersection (Stagnant/Cooling)
176,6177,282.36,-0.040685,476.81,591.81,No Intersection (Stagnant/Cooling)
177,6177,328.29,0.01823,284.04,399.04,4/10/2031
178,6177,287.25,0.023851,93.32,208.32,3/15/2027
179,6177,161.9,-0.988175,3172.71,3287.71,No Intersection (Stagnant/Cooling)
180,6177,521.38,0.391724,-1026.07,-911.07,10/22/2014
181,6177,787.71,0.423713,-1136.53,-1021.53,9/30/2014
182,6177,319.75,-0.094406,568.78,683.78,No Intersection (Stagnant/Cooling)
183,6177,268.16,0.020907,96.73,211.73,1/22/2029
184,6177,30.29,0.009111,101,216,7/22/2048
185,6177,28.13,-0.022192,367.92,482.92,No Intersection (Stagnant/Cooling)
186,6177,27.26,0.049323,35.09,150.09,5/21/2020
187,6177,28.28,0.036145,37.16,152.16,9/17/2022
188,6177,28.72,0.02314,180.07,295.07,8/10/2027
189,6177,29.66,0.176228,-297.15,-182.15,10/16/2015
190,6177,28.93,0.026778,52.75,167.75,10/4/2025
191,6177,28.25,0.019357,208.28,323.28,4/8/2030
192,6177,28.07,0.057681,-12.1,102.9,6/18/2019
193,6177,28,0.042343,2.4,117.4,6/8/2021
194,6177,292.72,0.065506,46.55,161.55,10/23/2018
195,6177,300.55,0.116872,-165.94,-50.94,9/11/2016
196,6177,231.01,0.084341,-107.87,7.13,9/26/2017
197,6177,312.26,-0.976529,3593.83,3708.83,No Intersection (Stagnant/Cooling)
198,6177,218.4,0.033071,61.44,176.44,7/10/2023
199,6177,173.57,0.025114,54.62,169.62,7/16/2026
200,6177,426.19,-0.001307,269.05,384.05,No Intersection (Stagnant/Cooling)
201,6177,363.1,0.022215,126.66,241.66,3/4/2028
202,6177,279.57,0.018177,100.01,215.01,4/28/2031
